user,item,rating
0,0,3.0
1,0,1.0
2,0,4.0
3,0,1.0
4,0,5.0
5,0,1.0
6,0,4.0
7,0,3.0
8,0,5.0
9,0,1.0
10,0,4.0
11,0,1.0
12,0,5.0
13,0,1.0
14,0,1.0
15,0,3.0
16,0,4.0
17,0,3.0
18,0,1.0
19,0,3.0
20,0,4.0
21,0,5.0
22,0,5.0
23,0,1.0
24,0,4.0
25,0,5.0
26,0,1.0
27,0,1.0
28,0,5.0
29,0,1.0
30,0,2.0
31,0,5.0
32,0,1.0
33,0,1.0
34,0,4.0
35,0,5.0
36,0,1.0
37,0,2.0
38,0,3.0
39,0,5.0
40,0,4.0
41,0,4.0
42,0,5.0
43,0,5.0
44,0,3.0
45,0,5.0
46,0,4.0
47,0,4.0
48,0,1.0
49,0,4.0
50,0,4.0
51,0,1.0
52,0,1.0
53,0,5.0
54,0,1.0
55,0,1.0
56,0,5.0
57,0,1.0
58,0,1.0
59,0,3.0
60,0,4.0
61,0,1.0
62,0,1.0
63,0,3.0
64,0,5.0
65,0,4.0
66,0,4.0
67,0,4.0
68,0,1.0
69,0,5.0
70,0,2.0
71,0,5.0
72,0,3.0
73,0,5.0
74,0,4.0
75,0,2.0
76,0,1.0
77,0,1.0
78,0,4.0
79,0,1.0
80,0,1.0
81,0,5.0
82,0,4.0
83,0,2.0
84,0,3.0
85,0,2.0
86,0,3.0
87,0,4.0
88,0,4.0
89,0,2.0
90,0,4.0
91,0,1.0
92,0,4.0
93,0,5.0
94,0,5.0
95,0,4.0
96,0,5.0
97,0,4.0
98,0,5.0
99,0,1.0
100,0,3.0
101,0,1.0
102,0,1.0
103,0,1.0
104,0,5.0
105,0,5.0
106,0,2.0
107,0,2.0
108,0,1.0
109,0,3.0
110,0,4.0
111,0,4.0
112,0,5.0
113,0,5.0
114,0,3.0
115,0,4.0
116,0,4.0
117,0,5.0
118,0,5.0
119,0,3.0
120,0,3.0
121,0,4.0
122,0,1.0
123,0,5.0
124,0,3.0
125,0,4.0
126,0,4.0
127,0,2.0
128,0,4.0
129,0,3.0
130,0,4.0
131,0,5.0
132,0,5.0
133,0,4.0
134,0,4.0
135,0,4.0
136,0,2.0
137,0,5.0
138,0,1.0
139,0,4.0
140,0,4.0
141,0,2.0
142,0,2.0
143,0,5.0
144,0,3.0
145,0,5.0
146,0,5.0
147,0,5.0
148,0,3.0
149,0,3.0
150,0,1.0
151,0,5.0
152,0,1.0
153,0,5.0
154,0,3.0
155,0,3.0
156,0,4.0
157,0,4.0
158,0,1.0
159,0,4.0
160,0,1.0
161,0,3.0
162,0,4.0
163,0,3.0
164,0,5.0
165,0,5.0
166,0,1.0
167,0,4.0
168,0,3.0
169,0,4.0
170,0,3.0
171,0,3.0
172,0,5.0
173,0,4.0
174,0,4.0
175,0,4.0
176,0,5.0
177,0,5.0
178,0,5.0
179,0,2.0
180,0,1.0
181,0,5.0
182,0,3.0
183,0,1.0
184,0,3.0
185,0,5.0
186,0,5.0
187,0,3.0
188,0,5.0
189,0,4.0
190,0,4.0
191,0,3.0
192,0,1.0
193,0,2.0
194,0,3.0
195,0,5.0
196,0,3.0
197,0,4.0
198,0,5.0
199,0,3.0
200,0,4.0
201,0,1.0
202,0,4.0
203,0,4.0
204,0,5.0
205,0,2.0
206,0,5.0
207,0,1.0
208,0,4.0
209,0,1.0
210,0,4.0
211,0,5.0
212,0,4.0
213,0,5.0
214,0,5.0
215,0,1.0
216,0,5.0
217,0,3.0
218,0,1.0
219,0,4.0
220,0,1.0
221,0,5.0
222,0,1.0
223,0,3.0
224,0,1.0
225,0,3.0
226,0,2.0
227,0,2.0
228,0,4.0
229,0,4.0
230,0,5.0
231,0,2.0
232,0,3.0
233,0,1.0
234,0,2.0
235,0,4.0
236,0,4.0
237,0,5.0
238,0,2.0
239,0,1.0
240,0,2.0
241,0,5.0
242,0,5.0
243,0,5.0
244,0,3.0
245,0,4.0
246,0,2.0
247,0,5.0
248,0,1.0
249,0,3.0
250,0,4.0
251,0,3.0
252,0,5.0
253,0,4.0
254,0,1.0
255,0,4.0
256,0,1.0
257,0,3.0
258,0,3.0
259,0,5.0
260,0,4.0
261,0,4.0
262,0,4.0
263,0,1.0
264,0,4.0
265,0,1.0
266,0,4.0
267,0,5.0
268,0,5.0
269,0,1.0
270,0,4.0
271,0,1.0
272,0,5.0
273,0,1.0
274,0,5.0
275,0,4.0
276,0,1.0
277,0,1.0
278,0,5.0
279,0,3.0
280,0,1.0
281,0,5.0
282,0,3.0
283,0,2.0
284,0,5.0
285,0,2.0
286,0,3.0
287,0,2.0
288,0,1.0
289,0,3.0
290,0,2.0
291,0,4.0
292,0,1.0
293,0,5.0
294,0,1.0
295,0,1.0
296,0,2.0
297,0,4.0
298,0,1.0
299,0,3.0
300,0,4.0
301,0,5.0
302,0,4.0
303,0,3.0
304,0,3.0
305,0,5.0
306,0,1.0
307,0,3.0
308,0,2.0
309,0,1.0
310,0,4.0
311,0,5.0
312,0,4.0
313,0,3.0
314,0,1.0
315,0,5.0
316,0,1.0
317,0,4.0
318,0,4.0
319,0,5.0
320,0,1.0
321,0,5.0
322,0,4.0
323,0,4.0
324,0,4.0
