user,item,rating
0,0,4.7
1,0,4.7
2,0,4.7
3,0,4.7
4,0,4.7
5,0,4.7
6,0,4.7
7,0,4.7
8,0,4.7
9,0,4.7
10,0,4.7
11,0,4.7
12,0,4.7
13,0,4.7
14,0,4.7
15,0,4.7
16,0,4.7
17,0,4.7
18,0,4.7
19,0,4.7
20,0,4.7
21,0,4.7
22,0,4.7
23,0,4.7
24,0,4.7
25,0,4.7
26,0,4.7
27,0,4.7
28,0,4.7
29,0,4.7
30,0,4.7
31,0,4.7
32,0,4.7
33,0,4.7
34,0,4.7
35,0,4.7
36,0,4.7
37,0,4.7
38,0,4.7
39,0,4.7
40,0,4.7
41,0,4.7
42,0,4.7
43,0,4.7
44,0,4.7
45,0,4.7
46,0,4.7
47,0,4.7
48,0,4.7
49,0,4.7
50,0,4.7
51,0,4.7
52,0,4.7
53,0,4.7
54,0,4.7
55,0,4.7
56,0,4.7
57,0,4.7
58,0,4.7
59,0,4.7
60,0,4.7
61,0,4.7
62,0,4.7
63,0,4.7
64,0,4.7
65,0,4.7
66,0,4.7
67,0,4.7
68,0,4.7
69,0,4.7
70,0,4.7
71,0,4.7
72,0,4.7
73,0,4.7
74,0,4.7
75,0,4.7
76,0,4.7
77,0,4.7
78,0,4.7
79,0,4.7
80,0,4.7
81,0,4.7
82,0,4.7
83,0,4.7
84,0,4.7
85,0,4.7
86,0,4.7
87,0,4.7
88,0,4.7
89,0,4.7
90,0,4.7
91,0,4.7
92,0,4.7
93,0,4.7
94,0,4.7
95,0,4.7
96,0,4.7
97,0,4.7
98,0,4.7
99,0,4.7
100,1,4.2
101,1,4.2
102,1,4.2
103,1,4.2
104,1,4.2
105,1,4.2
106,1,4.2
107,1,4.2
108,1,4.2
109,1,4.2
110,1,4.2
111,1,4.2
112,1,4.2
113,1,4.2
114,1,4.2
115,1,4.2
116,1,4.2
117,1,4.2
118,1,4.2
119,1,4.2
120,1,4.2
121,1,4.2
122,1,4.2
123,1,4.2
124,1,4.2
125,1,4.2
126,1,4.2
127,1,4.2
128,1,4.2
129,1,4.2
130,2,4.2
131,2,4.2
132,2,4.2
133,2,4.2
134,2,4.2
135,2,4.2
136,2,4.2
137,2,4.2
138,2,4.2
139,2,4.2
140,2,4.2
141,2,4.2
142,2,4.2
143,2,4.2
144,2,4.2
145,2,4.2
146,2,4.2
147,2,4.2
148,2,4.2
